"Species","mass_gm","source"
"Agapornis taranta",57.4866666666667,"combined: BirdLife, eBird, BirdTree"
"Agelaioides badius",45.2666666666667,"combined: BirdLife, eBird, BirdTree"
"Agelaioides fringillarius",45.275,"combined: BirdLife, eBird, BirdTree"
"Agelaius assimilis",47.6866666666667,"combined: BirdLife, eBird, BirdTree"
"Agelaius humeralis",36.2933333333333,"combined: BirdLife, eBird, BirdTree"
"Agelaius phoeniceus",50.7866666666667,"combined: BirdLife, eBird, BirdTree"
"Agelaius tricolor",57.9133333333333,"combined: BirdLife, eBird, BirdTree"
"Agelaius xanthomus",38.4,"combined: BirdLife, eBird, BirdTree"
"Agelastes meleagrides",815,"combined: BirdLife, eBird, BirdTree"
"Agelastes niger",699.993333333333,"combined: BirdLife, eBird, BirdTree"
"Agelasticus cyanopus",37.2066666666667,"combined: BirdLife, eBird, BirdTree"
"Agelasticus thilius",31.5,"combined: BirdLife, eBird, BirdTree"
"Agelasticus xanthophthalmus",45.1,"combined: BirdLife, eBird, BirdTree"
"Aglaeactis aliciae",7,"combined: BirdLife, eBird, BirdTree"
"Aglaeactis castelnaudii",6.7,"combined: BirdLife, eBird, BirdTree"
"Aglaeactis cupripennis",7.6,"combined: BirdLife, eBird, BirdTree"
"Aglaeactis pamela",5.5,"combined: BirdLife, eBird, BirdTree"
"Aglaiocercus berlepschi",4.98,"combined: BirdLife, eBird, BirdTree"
"Aglaiocercus coelestis",5.60666666666667,"combined: BirdLife, eBird, BirdTree"
"Aglaiocercus kingi",4.84,"combined: BirdLife, eBird, BirdTree"
"Aglaiocercus kingii",4.82,"combined: BirdLife, eBird, BirdTree"
"Agraphospiza rubescens",19,"combined: BirdLife, eBird, BirdTree"
"Agricola infuscatus",32.4,"combined: BirdLife, eBird, BirdTree"
"Agricola pallidus",23.6,"combined: BirdLife, eBird, BirdTree"
"Agriornis albicauda",53,"combined: BirdLife, eBird, BirdTree"
"Agriornis lividus",99.1,"combined: BirdLife, eBird, BirdTree"
"Agriornis micropterus",67.7933333333333,"combined: BirdLife, eBird, BirdTree"
"Agriornis montanus",63.3,"combined: BirdLife, eBird, BirdTree"
"Agriornis murinus",29.9,"combined: BirdLife, eBird, BirdTree"
"Agropsar philippensis",28.8,"combined: BirdLife, eBird, BirdTree"
"Agropsar sturninus",49.4,"combined: BirdLife, eBird, BirdTree"
"Aidemosyne modesta",12.7,"combined: BirdLife, eBird, BirdTree"
"Ailuroedus arfakianus",176.9,"combined: BirdLife, eBird, BirdTree"
"Ailuroedus astigmaticus",176.9,"combined: BirdLife, eBird, BirdTree"
"Ailuroedus buccoides",138,"combined: BirdLife, eBird, BirdTree"
"Ailuroedus crassirostris",205.313333333333,"combined: BirdLife, eBird, BirdTree"
"Ailuroedus geislerorum",138,"combined: BirdLife, eBird, BirdTree"
"Ailuroedus jobiensis",176.9,"combined: BirdLife, eBird, BirdTree"
"Ailuroedus maculosus",205.3,"combined: BirdLife, eBird, BirdTree"
"Ailuroedus melanocephalus",205.3,"combined: BirdLife, eBird, BirdTree"
"Ailuroedus melanotis",176.893333333333,"combined: BirdLife, eBird, BirdTree"
"Ailuroedus stonii",138,"combined: BirdLife, eBird, BirdTree"
"Aimophila aestivalis",19.56,"combined: BirdLife, eBird, BirdTree"
"Aimophila botterii",19.9,"combined: BirdLife, eBird, BirdTree"
"Aimophila carpalis",15.3,"combined: BirdLife, eBird, BirdTree"
"Aimophila cassinii",18.9,"combined: BirdLife, eBird, BirdTree"
"Aimophila humeralis",23.9,"combined: BirdLife, eBird, BirdTree"
"Aimophila mystacalis",22.2,"combined: BirdLife, eBird, BirdTree"
"Aimophila notosticta",27.1,"combined: BirdLife, eBird, BirdTree"
"Aimophila quinquestriata",19.53,"combined: BirdLife, eBird, BirdTree"
"Aimophila rufescens",34.3,"combined: BirdLife, eBird, BirdTree"
"Aimophila ruficauda",28.2,"combined: BirdLife, eBird, BirdTree"
"Aimophila ruficeps",18.6933333333333,"combined: BirdLife, eBird, BirdTree"
"Aimophila stolzmanni",25.57,"combined: BirdLife, eBird, BirdTree"
"Aimophila strigiceps",22.2,"combined: BirdLife, eBird, BirdTree"
"Aimophila sumichrasti",29.43,"combined: BirdLife, eBird, BirdTree"
"Aix galericulata",567.026666666667,"combined: BirdLife, eBird, BirdTree"
"Aix sponsa",657.593333333333,"combined: BirdLife, eBird, BirdTree"
"Akletos goeldii",42,"combined: BirdLife, eBird, BirdTree"
"Akletos melanoceps",38.5,"combined: BirdLife, eBird, BirdTree"
"Alaemon alaudipes",43.7133333333333,"combined: BirdLife, eBird, BirdTree"
"Alaemon hamertoni",43.7,"combined: BirdLife, eBird, BirdTree"
"Alauda arvensis",37.3066666666667,"combined: BirdLife, eBird, BirdTree"
"Alauda gulgula",26.3,"combined: BirdLife, eBird, BirdTree"
"Alauda japonica",37.3,"combined: BirdLife, eBird, BirdTree"
"Alauda leucoptera",45.3,"combined: BirdLife, eBird, BirdTree"
"Alauda razae",21.9,"combined: BirdLife, eBird, BirdTree"
"Alaudala cheleensis",24.1,"combined: BirdLife, eBird, BirdTree"
"Alaudala heinei",24.1,"combined: BirdLife, eBird, BirdTree"
"Alaudala raytal",18.495,"combined: BirdLife, eBird, BirdTree"
"Alaudala rufescens",24.1,"combined: BirdLife, eBird, BirdTree"
"Alaudala somalica",24.1,"combined: BirdLife, eBird, BirdTree"
"Alca torda",725.993333333333,"combined: BirdLife, eBird, BirdTree"
"Alcedo argentata",17.84,"combined: BirdLife, eBird, BirdTree"
"Alcedo atthis",31.0933333333333,"combined: BirdLife, eBird, BirdTree"
"Alcedo azurea",34.9,"combined: BirdLife, eBird, BirdTree"
"Alcedo coerulescens",34.9,"combined: BirdLife, eBird, BirdTree"
"Alcedo cristata",15.7,"combined: BirdLife, eBird, BirdTree"
"Alcedo cyanopectus",21.5,"combined: BirdLife, eBird, BirdTree"
"Alcedo euryzona",43.0866666666667,"combined: BirdLife, eBird, BirdTree"
"Alcedo hercules",62.5,"combined: BirdLife, eBird, BirdTree"
"Alcedo leucogaster",14.5,"combined: BirdLife, eBird, BirdTree"
"Alcedo meninting",20.4133333333333,"combined: BirdLife, eBird, BirdTree"
"Alcedo peninsulae",43.08,"combined: BirdLife, eBird, BirdTree"
"Alcedo pusilla",13.3,"combined: BirdLife, eBird, BirdTree"
"Alcedo quadribrachys",34.9,"combined: BirdLife, eBird, BirdTree"
"Alcedo semitorquata",47.3133333333333,"combined: BirdLife, eBird, BirdTree"
"Alcedo vintsioides",17.9,"combined: BirdLife, eBird, BirdTree"
"Alcedo websteri",60.97,"combined: BirdLife, eBird, BirdTree"
"Alcippe brunnea",17.43,"combined: BirdLife, eBird, BirdTree"
"Alcippe brunneicauda",14.3,"combined: BirdLife, eBird, BirdTree"
"Alcippe castaneceps",12.5,"combined: BirdLife, eBird, BirdTree"
