"AOU","nint","tail95","abs.avg.td.ab.sig","fab.sig","ftas.sig","ftas5.sig","abs.avg.td.tas5.sig","fpr.sig","fpr5.sig","abs.avg.td.pr5.sig","ORDER","Family","Genus","Species","English_Common_Name","ScientificName","BirdTreeName"
6080,3999,"LT",0.000730801167190753,0.497824143070045,-1,0.950222959659857,0.000420096313276926,-1,0.198846539618857,0.000280651776452556,"Passeriformes","Cardinalidae","Piranga","olivacea","Scarlet Tanager","Piranga olivacea","Piranga olivacea"
6100,1385,"UT",0.000310066793292997,-1,-1,-1,0.000126919835469629,-1,-0.282625397870706,0.000308552502353682,"Passeriformes","Cardinalidae","Piranga","rubra","Summer Tanager","Piranga rubra","Piranga rubra"
6110,1109,"LT",0.000478819164077252,1,1,-1,0.000115306189774509,0.279411764705882,-1,0.000424295843152647,"Passeriformes","Hirundinidae","Progne","subis","Purple Martin","Progne subis","Progne subis"
6120,436,"LT",0.000320461592558258,1,-1,1,0.000219767925071125,-1,0.191892487332012,0.00048829974008985,"Passeriformes","Hirundinidae","Petrochelidon","pyrrhonota","Cliff Swallow","Petrochelidon pyrrhonota","Petrochelidon pyrrhonota"
6130,12903,"LT",0.000494415446695404,0.185974111092905,-0.398197535405554,0.589973246481331,0.000232153017381637,-0.452723878977297,0.561357857071704,0.000382477073494307,"Passeriformes","Hirundinidae","Hirundo","rustica","Barn Swallow","Hirundo rustica","Hirundo rustica"
6140,2927,"UT",0.000587941893865715,-0.483093743672808,-0.375556655121226,1,0.000157371772360898,-0.14915123880679,0.657366152947191,0.000438788506567886,"Passeriformes","Hirundinidae","Tachycineta","bicolor","Tree Swallow","Tachycineta bicolor","Tachycineta bicolor"
6190,3318,"LT",0.000502590662692987,0.0944421228583368,1,1,0.000117141638995827,-0.660408346086372,0.176497277676951,0.000373877434698676,"Passeriformes","Bombycillidae","Bombycilla","cedrorum","Cedar Waxwing","Bombycilla cedrorum","Bombycilla cedrorum"
6240,9810,"UT",0.00127419223078207,-0.455211919329886,-0.171871851702599,0.949438770350895,0.00017561899079017,-0.519565900328431,0.594578549983168,0.000372764105569871,"Passeriformes","Vireonidae","Vireo","olivaceus","Red-eyed Vireo","Vireo olivaceus","Vireo olivaceus"
6270,2010,"UT",0.00086310607242533,-0.255472986543482,1,0.4322206095791,0.000298594137327301,0.0917765626675243,0.450347646090972,0.000439663782401314,"Passeriformes","Vireonidae","Vireo","gilvus","Warbling Vireo","Vireo gilvus","Vireo gilvus"
6310,1887,"UT",0.00141680930777057,-0.042225987227942,-0.145731375747689,0.092818301143822,0.000492365700400134,-0.0121343837725258,-0.803683464885651,0.000368448682652413,"Passeriformes","Vireonidae","Vireo","griseus","White-eyed Vireo","Vireo griseus","Vireo griseus"
6360,727,"UT",0.0011195836069188,-0.124143835616438,NA,NA,0,-0.728683522231909,1,0.000729629849467472,"Passeriformes","Parulidae","Mniotilta","varia","Black-and-white Warbler","Mniotilta varia","Mniotilta varia"
6370,62,"UT",0.00211588175789592,-1,NA,NA,0,NA,NA,0,"Passeriformes","Parulidae","Protonotaria","citrea","Prothonotary Warbler","Protonotaria citrea","Protonotaria citrea"
6450,313,"UT",0.00246741102737362,-1,-1,-1,0.00028330977056918,NA,1,0.000524788855654592,"Passeriformes","Parulidae","Leiothlypis","ruficapilla","Nashville Warbler","Leiothlypis ruficapilla","Vermivora ruficapilla"
6480,309,"UT",0.00106728459795,-1,-1,-1,0.000284158181387639,0.0105281475680849,0.337806668064583,0.000723905110597036,"Passeriformes","Parulidae","Setophaga","americana","Northern Parula","Setophaga americana","Parula americana"
6520,4827,"UT",0.00187855190280572,-0.217506580337759,-0.399443929564411,1,0.000484895863785949,-0.741100194644642,0.385209163219879,0.000543140046716687,"Passeriformes","Parulidae","Setophaga","petechia","Yellow Warbler","Setophaga petechia","Dendroica petechia"
6550,379,"LT",0.000773169812361524,0.104637336504162,-0.456603773584905,1,0.000129168083991432,1,1,0.000802942472290564,"Passeriformes","Parulidae","Setophaga","coronata coronata","(Myrtle Warbler) Yellow-rumped Warbler","Setophaga coronata coronata","Dendroica coronata"
6570,122,"LT",0.00142800022848004,1,NA,NA,0,NA,NA,0,"Passeriformes","Parulidae","Setophaga","magnolia","Magnolia Warbler","Setophaga magnolia","Dendroica magnolia"
6590,1718,"UT",0.00190836520871445,-0.244486954673468,-1,0.723726977248105,0.000187196034607943,-1,0.801167236868585,0.000542648526691231,"Passeriformes","Parulidae","Setophaga","pensylvanica","Chestnut-sided Warbler","Setophaga pensylvanica","Dendroica pensylvanica"
6620,98,"LT",0.00312344449975112,0.0927717700626067,1,NA,0,NA,NA,0,"Passeriformes","Parulidae","Setophaga","fusca","Blackburnian Warbler","Setophaga fusca","Dendroica fusca"
6630,49,"LT",0.0027021261466259,1,-1,NA,0,-1,1,0.0023921200750469,"Passeriformes","Parulidae","Setophaga","dominica","Yellow-throated Warbler","Setophaga dominica","Dendroica dominica"
6670,378,"UT",0.00136330955146286,-0.0581473968897903,-0.590654205607477,0.534246575342467,0.000504673414081079,-0.763308059094818,0.321929694301519,0.00111814294098003,"Passeriformes","Parulidae","Setophaga","virens","Black-throated Green Warbler","Setophaga virens","Dendroica virens"
6710,1139,"UT",0.00148473659576681,-0.4684248480478,-1,0.0211235955056181,0.000340325427586397,1,-0.0944485182786708,0.000868870969186622,"Passeriformes","Parulidae","Setophaga","pinus","Pine Warbler","Setophaga pinus","Dendroica pinus"
6730,312,"LT",0.000923009916912356,0.130066545674531,NA,NA,0,NA,-1,0.000358547409438592,"Passeriformes","Parulidae","Setophaga","discolor","Prairie Warbler","Setophaga discolor","Dendroica discolor"
6740,5456,"UT",0.00190806291678837,-0.421276442221098,0.753294289897511,0.949439873103995,0.000322088906372935,-0.71112607663134,0.542151246307247,0.000659285739906078,"Passeriformes","Parulidae","Seiurus","aurocapilla","Ovenbird","Seiurus aurocapilla","Seiurus aurocapilla"
6770,164,"UT",0.000981558596073766,-1,NA,NA,0,-1,NA,0,"Passeriformes","Parulidae","Geothlypis","formosa","Kentucky Warbler","Geothlypis formosa","Oporornis formosus"
6790,268,"UT",0.00236621769202767,-1,NA,-1,0.000332830620417078,-1,0.732112529589809,0.0019286895556762,"Passeriformes","Parulidae","Geothlypis","philadelphia","Mourning Warbler","Geothlypis philadelphia","Oporornis philadelphia"
6810,12844,"UT",0.00122423365031296,-0.452336107958034,0.443816698053987,0.839345995851466,0.00033349809073123,-0.470569015901342,0.107970011687182,0.000490159285340808,"Passeriformes","Parulidae","Geothlypis","trichas","Common Yellowthroat","Geothlypis trichas","Geothlypis trichas"
6830,2161,"UT",0.00146950937348337,-0.131336405529954,-0.36735632183908,0.239350912778905,7.94895897659975e-05,-0.485028771173975,-0.294261742911385,0.000354419510806008,"Passeriformes","Icteriidae","Icteria","virens","Yellow-breasted Chat","Icteria virens","Icteria virens"
6850,37,"UT",0.00420472737545908,-1,1,NA,0,NA,NA,0,"Passeriformes","Parulidae","Cardellina","pusilla","Wilson's Warbler","Cardellina pusilla","Wilsonia pusilla"
6870,1806,"UT",0.000838378459721949,-0.418939132435853,-0.614759224515322,0.591135232926278,0.000213284406218528,-0.935489220563848,0.338381952942975,0.000206163808332634,"Passeriformes","Parulidae","Setophaga","ruticilla","American Redstart","Setophaga ruticilla","Setophaga ruticilla"
