AOU,fLU_ab,fLU_pr,fLU_tas,fLU_tasmax,fLU_tasmin,Diet.5Cat,IUCN_status,tail,ORDER,Family,Genus,Species,English_Common_Name,ScientificName,BirdTreeName,comments
4670,-0.114154744,0.052537465,0.027080256,0.268827661,-0.357109042,Invertebrate,LC,UT,Passeriformes,Tyrannidae,Empidonax,minimus,Least Flycatcher,Empidonax minimus,Empidonax minimus,
4680,0.530261969,-0.184291423,-0.168,-0.274093264,-0.331753555,Invertebrate,LC,LT,Passeriformes,Tyrannidae,Empidonax,hammondii,Hammond's Flycatcher,Empidonax hammondii,Empidonax hammondii,
4690,-0.648,-0.183463293,0.2911485,0.694420601,0.31414956,Invertebrate,LC,UT,Passeriformes,Tyrannidae,Empidonax,oberholseri,Dusky Flycatcher,Empidonax oberholseri,Empidonax oberholseri,
4740,-0.183798992,0.07984122,0.571551165,0.461176636,0.577467766,Omnivore,LC,UT,Passeriformes,Alaudidae,Eremophila,alpestris,Horned Lark,Eremophila alpestris,Eremophila alpestris,
4750,-0.323519572,0.107893879,0.30276654,0.077689531,0.40684952,Omnivore,LC,UT,Passeriformes,Corvidae,Pica,hudsonia,Black-billed Magpie,Pica hudsonia,Pica hudsonia,
4760,0.05,0.368010403,-0.340694006,0.843700159,-0.324503311,Omnivore,VU,LT,Passeriformes,Corvidae,Pica,nuttalli,Yellow-billed Magpie,Pica nuttalli,Pica nuttalli,
4770,-0.043871449,-0.447858456,0.529240561,0.664344581,0.19521345,Omnivore,LC,UT,Passeriformes,Corvidae,Cyanocitta,cristata,Blue Jay,Cyanocitta cristata,Cyanocitta cristata,
4780,0.330687747,-0.452943083,-0.084717476,0.450330881,-0.275851072,Omnivore,LC,LT,Passeriformes,Corvidae,Cyanocitta,stelleri,Steller's Jay,Cyanocitta stelleri,Cyanocitta stelleri,
4812,0.024128686,-0.306851424,-0.431978459,0.49356363,-0.469399374,Omnivore,NT,LT,Passeriformes,Corvidae,Aphelocoma,californica,California Scrub-Jay,Aphelocoma californica,Aphelocoma californica,
4813,0.518796992,0.563676987,-0.303614458,0.41775837,0.2628516,Omnivore,LC,LT,Passeriformes,Corvidae,Aphelocoma,woodhouseii,Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,Aphelocoma californica,manual (BL-eBird)
4840,0.733050847,0.103390069,0.973924381,0.690349947,0.896551724,Omnivore,LC,LT,Passeriformes,Corvidae,Perisoreus,canadensis,Canada Jay,Perisoreus canadensis,Perisoreus canadensis,
4860,-0.383561644,0.054911436,0.100124831,0.303751676,0.214028473,VertFishScav,LC,UT,Passeriformes,Corvidae,Corvus,corax,Common Raven,Corvus corax,Corvus corax,
4870,-0.179166667,0.714131024,-0.006419753,0.184313725,0.255793616,Omnivore,LC,UT,Passeriformes,Corvidae,Corvus,cryptoleucus,Chihuahuan Raven,Corvus cryptoleucus,Corvus cryptoleucus,
4880,0.196683585,-0.442262465,0.464231422,0.585333337,0.141861786,Omnivore,LC,LT,Passeriformes,Corvidae,Corvus,brachyrhynchos,American Crow,Corvus brachyrhynchos,Corvus brachyrhynchos,
4881,1,-0.937519332,0.532258065,0.919075145,0.563636364,Omnivore,LC,LT,Passeriformes,Corvidae,Corvus,brachyrhynchos / ossifragus,unid. American Crow / Fish Crow,Corvus brachyrhynchos / ossifragus,Corvus ossifragus,manual (possible sp)
4900,-0.271472393,-0.197203562,0.390299479,0.255018377,-0.079760258,Omnivore,LC,UT,Passeriformes,Corvidae,Corvus,ossifragus,Fish Crow,Corvus ossifragus,Corvus ossifragus,
4910,-1,1,0.868131868,0.86875,0.635883905,Omnivore,LC,UT,Passeriformes,Corvidae,Nucifraga,columbiana,Clark's Nutcracker,Nucifraga columbiana,Nucifraga columbiana,
4920,0.564575646,0.28005538,0.4775,0.570895522,0.86073501,Omnivore,VU,LT,Passeriformes,Corvidae,Gymnorhinus,cyanocephalus,Pinyon Jay,Gymnorhinus cyanocephalus,Gymnorhinus cyanocephalus,
4930,-0.10025302,-0.510106994,0.459896321,0.649864693,0.169007986,Omnivore,LC,UT,Passeriformes,Sturnidae,Sturnus,vulgaris,European Starling,Sturnus vulgaris,Sturnus vulgaris,
4940,-0.206469822,-0.027237141,0.207390649,0.468864371,-0.162808178,Invertebrate,LC,UT,Passeriformes,Icteridae,Dolichonyx,oryzivorus,Bobolink,Dolichonyx oryzivorus,Dolichonyx oryzivorus,
4950,-0.031608289,-0.330845703,0.435255186,0.484129457,0.276283014,PlantSeed,LC,UT,Passeriformes,Icteridae,Molothrus,ater,Brown-headed Cowbird,Molothrus ater,Molothrus ater,
4970,0.16433121,0.773440046,-0.218026023,-0.376990446,-0.221772711,Invertebrate,EN,LT,Passeriformes,Icteridae,Xanthocephalus,xanthocephalus,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,Xanthocephalus xanthocephalus,
4980,-0.117936027,-0.415735702,0.44865276,0.584894733,0.191857792,Omnivore,LC,UT,Passeriformes,Icteridae,Agelaius,phoeniceus,Red-winged Blackbird,Agelaius phoeniceus,Agelaius phoeniceus,
5010,-0.039168329,-0.330571827,0.643871679,0.604416642,0.447216269,Invertebrate,NT,UT,Passeriformes,Icteridae,Sturnella,magna,Eastern Meadowlark,Sturnella magna,Sturnella magna,
5011,0.132331579,0.260515713,0.370074894,0.285232577,0.348912743,Omnivore,LC,LT,Passeriformes,Icteridae,Sturnella,neglecta,Western Meadowlark,Sturnella neglecta,Sturnella neglecta,
5040,1,0.697838346,0.574415744,0.789954338,0.847904192,Invertebrate,LC,LT,Passeriformes,Icteridae,Icterus,parisorum,Scott's Oriole,Icterus parisorum,Icterus parisorum,
5060,0.063146998,-0.17931325,0.643595259,0.40487447,0.279538555,Omnivore,LC,LT,Passeriformes,Icteridae,Icterus,spurius,Orchard Oriole,Icterus spurius,Icterus spurius,
5070,-0.064000867,-0.476382603,0.518622261,0.803147443,0.186487737,Invertebrate,LC,UT,Passeriformes,Icteridae,Icterus,galbula,Baltimore Oriole,Icterus galbula,Icterus galbula,
5080,-0.009009009,-0.038217307,0.075661151,0.471867967,-0.075964292,Invertebrate,LC,UT,Passeriformes,Icteridae,Icterus,bullockii,Bullock's Oriole,Icterus bullockii,Icterus bullockii,
5100,0.18907414,0.155750548,0.227046055,0.219855675,0.206350814,Invertebrate,LC,LT,Passeriformes,Icteridae,Euphagus,cyanocephalus,Brewer's Blackbird,Euphagus cyanocephalus,Euphagus cyanocephalus,
5110,-0.089298848,-0.515405063,0.555308001,0.699752006,0.278287356,Omnivore,NT,UT,Passeriformes,Icteridae,Quiscalus,quiscula,Common Grackle,Quiscalus quiscula,Quiscalus quiscula,
5120,-1,0.717441829,-0.316017316,-0.106945976,0.347654042,Invertebrate,LC,UT,Passeriformes,Icteridae,Quiscalus,mexicanus,Great-tailed Grackle,Quiscalus mexicanus,Quiscalus mexicanus,
5130,-1,0.690402018,-0.686109945,-0.132262052,-0.852967228,Omnivore,LC,UT,Passeriformes,Icteridae,Quiscalus,major,Boat-tailed Grackle,Quiscalus major,Quiscalus major,
5170,-0.142405063,0.007349729,-0.563143631,-0.171218916,-0.792207792,PlantSeed,LC,UT,Passeriformes,Fringillidae,Haemorhous,purpureus,Purple Finch,Haemorhous purpureus,Carpodacus purpureus,
5180,1,0.231381467,0.476135041,0.822058824,0.341530055,PlantSeed,LC,LT,Passeriformes,Fringillidae,Haemorhous,cassinii,Cassin's Finch,Haemorhous cassinii,Carpodacus cassinii,
5190,0.073756103,-0.659716563,0.498446965,0.772840929,0.415316837,PlantSeed,LC,LT,Passeriformes,Fringillidae,Haemorhous,mexicanus,House Finch,Haemorhous mexicanus,Carpodacus mexicanus,
5210,-0.080684597,0.099378882,0.23373494,0.842696629,-0.34519573,PlantSeed,LC,UT,Passeriformes,Fringillidae,Loxia,curvirostra,Red Crossbill,Loxia curvirostra,Loxia curvirostra,
5275,1,1,-1,1,1,PlantSeed,LC,LT,Passeriformes,Fringillidae,Carduelis,flammea / hornemanni,unid. Common Redpoll / Hoary Redpoll,Carduelis flammea / hornemanni,Carduelis hornemanni,manual (possible sp)
5280,0.125,-0.540337711,1,1,0.875968992,PlantSeed,LC,LT,Passeriformes,Fringillidae,Acanthis,flammea,Common Redpoll,Acanthis flammea,Carduelis flammea,
5280,0.125,-0.540337711,1,1,0.875968992,PlantSeed,LC,LT,Passeriformes,Fringillidae,Acanthis,flammea,Common Redpoll,Acanthis flammea,Carduelis hornemanni,
5290,0.071155312,-0.496221141,0.472999298,0.676154696,0.148585406,PlantSeed,LC,LT,Passeriformes,Fringillidae,Spinus,tristis,American Goldfinch,Spinus tristis,Carduelis tristis,
5300,-0.455445545,-0.177090737,-0.424377792,0.551826259,-0.356794802,PlantSeed,LC,UT,Passeriformes,Fringillidae,Spinus,psaltria,Lesser Goldfinch,Spinus psaltria,Carduelis psaltria,
5330,0.220543807,-0.080543333,0.071779373,0.36,0.248165444,PlantSeed,LC,LT,Passeriformes,Fringillidae,Spinus,pinus,Pine Siskin,Spinus pinus,Carduelis pinus,
5360,1,1,-1,1,1,Omnivore,LC,LT,Passeriformes,Calcariidae,Calcarius,lapponicus,Lapland Longspur,Calcarius lapponicus,Calcarius lapponicus,
5380,-0.455245428,0.803602157,-0.925484352,-0.969981238,-0.928358209,PlantSeed,VU,UT,Passeriformes,Calcariidae,Calcarius,ornatus,Chestnut-collared Longspur,Calcarius ornatus,Calcarius ornatus,
5400,-0.094880225,0.344907433,0.432022858,0.121362444,0.485716349,Omnivore,LC,UT,Passeriformes,Passerellidae,Pooecetes,gramineus,Vesper Sparrow,Pooecetes gramineus,Pooecetes gramineus,
