"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
1940,250,500,263,154,109,0,43,66,3.31507622811971,-6.6501976284585
1960,250,500,88,26,62,0,44,18,4.30942970073405,-0.89949181253529
1970,250,500,2,0,2,0,1,1,0.018351214003388,-0.0417843026538678
1990,250,500,1,1,0,0,0,0,0,0
2000,250,500,23,5,18,0,10,8,0.96386222473179,-0.597402597402597
2001,250,500,165,51,114,0,85,28,10.2289666854884,-1.65386787125918
2010,250,500,19,7,12,0,7,5,0.466685488424619,-0.321005081874647
2060,250,500,96,70,26,0,21,5,2.58865047995483,-0.160926030491248
2110,250,500,3,0,3,0,2,1,0.0773574251835122,-0.107001693958216
2120,250,500,0,0,0,0,0,0,0,0
2140,250,500,25,7,18,0,11,7,0.989271597967251,-0.358554488989271
2190,250,500,0,0,0,0,0,0,0,0
2210,250,500,17,2,15,0,6,9,0.371541501976285,-0.367024280067758
2240,250,500,0,0,0,0,0,0,0,0
2250,250,500,0,0,0,0,0,0,0,0
2260,250,500,0,0,0,0,0,0,0,0
2300,250,500,526,274,252,0,153,99,15.1869866562233,-6.97374364765669
2490,250,500,60,29,31,0,22,9,2.26792772444946,-0.55477131564088
2540,250,500,0,0,0,0,0,0,0,0
2550,250,500,0,0,0,0,0,0,0,0
2580,250,500,38,13,25,0,13,12,1.48616600790514,-1.10220214568041
2610,250,500,207,54,153,0,93,60,10.9514398644833,-4.6880293619424
2630,250,500,47,36,11,0,6,5,0.468097120271033,-0.345002823263693
2640,250,500,16,9,7,0,1,6,0.117447769621683,-0.434217955957086
2730,250,500,12640,6354,6286,0,2581,3701,222.515613513423,-403.26714118974
2882,250,500,0,0,0,0,0,0,0,0
2890,250,500,4443,1834,2609,0,1314,1293,120.317899491813,-122.894692264257
2920,250,500,14,1,13,0,2,11,0.0516657255787692,-1.36448334274421
2930,250,500,147,44,103,0,65,38,7.3977978543196,-3.10079051383399
2940,250,500,182,34,148,0,43,105,2.9339356295878,-9.26821005081874
2950,250,500,121,84,37,0,25,12,2.68379797504897,-0.944946357989836
2971,250,500,0,0,0,0,0,0,0,0
3091,250,500,1485,781,704,0,382,321,36.3743759295422,-32.3111236589497
3100,250,500,11,6,5,0,4,1,0.601072840203275,-0.0245623941276115
3120,250,500,12,4,8,0,0,7,0,-0.699887069452287
3131,250,500,3300,1745,1554,1,681,871,55.4000564652739,-98.9359119141728
3160,250,500,38797,16790,22006,1,9085,12911,804.663282046244,-1429.05473985745
3190,250,500,106,84,22,0,13,9,0.817338347719782,-0.945228684359119
3200,250,500,36,10,26,0,19,6,2.21852060982496,-0.462732919254658
3210,250,500,1,0,1,0,1,0,0.103613777526821,0
3250,250,500,2408,769,1639,0,700,936,59.2641051346585,-86.3746806633994
3260,250,500,154,29,125,0,73,52,5.43393562958781,-3.86504799548278
3290,250,500,1,0,1,0,0,1,0,-0.0225861095426313
3310,250,500,1,0,1,0,1,0,0.141727837380011,0
3370,250,500,661,226,435,0,217,218,19.3633913564998,-21.7058159232072
3390,250,500,113,61,52,0,43,8,4.39130434782609,-0.573969508752117
3420,250,500,170,45,125,0,76,49,9.15979672501412,-3.96612083568605
3480,250,500,0,0,0,0,0,0,0,0
3490,250,500,0,0,0,0,0,0,0,0
3520,250,500,1,1,0,0,0,0,0,0
3600,250,500,83,22,61,0,36,25,2.70784770818959,-2.10926030491248
3620,250,500,0,0,0,0,0,0,0,0
3640,250,500,12,1,11,0,7,4,0.252964426877471,-0.192264257481649
3680,250,500,0,0,0,0,0,0,0,0
3750,250,500,0,0,0,0,0,0,0,0
3780,250,500,4,1,3,0,1,2,0.0189158667419537,-0.101355166572558
3850,250,500,6,3,3,0,0,3,0,-0.267080745341615
3870,250,500,4768,1581,3187,0,1625,1561,152.088932806324,-132.485601355167
3880,250,500,1,0,1,0,0,1,0,-0.025974025974026
3900,250,500,1,0,1,0,1,0,0.0341614906832299,0
3930,250,500,107,33,74,0,48,26,4.59627329192547,-2.06324110671937
3940,250,500,4813,1792,3021,0,1278,1740,116.780067758329,-191.035008469791
3960,250,500,27,19,8,0,4,4,0.505364201016375,-0.293619424054206
3970,250,500,5,0,5,0,3,2,0.118294748729531,-0.0200451722190852
3990,250,500,0,0,0,0,0,0,0,0
4020,250,500,983,457,526,0,284,242,23.9232072275551,-21.8176171654432
4021,250,500,11,7,4,0,2,2,0.120553359683795,-0.0863918690005645
4030,250,500,8,4,4,0,1,3,0.010446075663467,-0.119988706945229
4050,250,500,1244,353,891,0,369,522,33.6439864483343,-55.826369282891
4060,250,500,423,184,239,0,126,113,12.1928289102202,-11.5886504799548
4070,250,500,27,4,23,0,4,19,0.122247317899492,-1.62224731789949
4090,250,500,15594,5952,9642,0,3867,5766,349.843308865048,-643.860530773574
4100,250,500,12,4,8,0,0,8,0,-1.16854884246189
4110,250,500,14,13,1,0,1,0,0.0084697910784868,0
4120,250,500,5612,2332,3279,1,852,2424,64.7094861660079,-321.990683229814
4130,250,500,1032,427,605,0,282,323,24.0214568040655,-26.579898362507
4140,250,500,2,1,1,0,1,0,0.110671936758893,0
4160,250,500,101,32,69,0,43,26,4.93873517786561,-2.71174477696217
4171,250,500,1,0,1,0,0,1,0,-0.0598531902879729
4200,250,500,410,147,263,0,149,114,14.4711127215479,-8.41875403843259
4210,250,500,11,4,7,0,5,2,0.231798481569932,-0.0886504799548277
4230,250,500,7072,2752,4320,0,1535,2781,132.559853190288,-331.467814793902
4250,250,500,4,0,4,0,2,2,0.193111236589498,-0.290231507622812
4280,250,500,84,44,40,0,26,14,2.16374929418408,-1.46640316205534
4290,250,500,1,0,1,0,0,1,0,-0.105307735742518
4310,250,500,2,0,2,0,1,1,0.0158102766798419,-0.00197628458498023
4320,250,500,135,69,66,0,27,39,2.25804630152456,-2.87097684923772
4330,250,500,33,14,19,0,5,13,0.287408243929983,-1.17221908526256
4430,250,500,617,202,415,0,217,198,15.1869000564653,-17.6533032185206
4440,250,500,7782,3309,4473,0,2177,2296,201.169113495201,-220.927442123094
4470,250,500,1348,555,792,1,422,370,42.9889800614084,-30.5032482484111
4480,250,500,147,63,84,0,58,26,6.07735742518351,-1.33907396950875
4520,250,500,8865,3735,5130,0,2481,2645,237.927159796725,-263.618294748729
4530,250,500,1,1,0,0,0,0,0,0
4540,250,500,892,390,502,0,243,258,24.4851904449081,-20.4166325038908
4560,250,500,13063,4859,8204,0,3016,5184,252.976849237719,-615.367871259175
4570,250,500,201,56,145,0,70,75,7.13834219359983,-5.17960151512976
4580,250,500,19,0,19,0,9,10,0.288255223037832,-0.901468097120271
4590,250,500,86,43,43,0,10,33,0.751835121400339,-2.90118577075099
4610,250,500,13913,5782,8131,0,2975,5152,250.90146809712,-611.876341050254
4620,250,500,942,442,500,0,222,278,18.4184076792773,-22.1468097120271
4630,250,500,0,0,0,0,0,0,0,0
