"AOU","mindist","maxdist","nint","nind","npos","nneg","nL","nU","L","U"
3210,0,400,15,0,15,0,2,13,0.0039525691699604,-0.204545454545454
3250,0,400,2941,2,2939,0,1523,1371,34.4021739130435,-35.3577075098814
3260,0,400,237,0,237,0,71,160,0.848814229249011,-4.76482213438735
3290,0,400,2,0,2,0,1,1,0.00889328063241107,-0.0533596837944664
3310,0,400,8,0,8,0,2,6,0.0118577075098813,-0.0701581027667986
3370,0,400,808,3,805,0,418,373,14.9624505928854,-11.5711462450593
3390,0,400,183,0,183,0,54,125,0.997035573122529,-4.45454545454546
3420,0,400,201,0,201,0,99,98,4.2994071146245,-3.23320158102767
3480,0,400,1,0,1,0,0,1,0,-0.000988142292490168
3490,0,400,0,0,0,0,0,0,0,0
3520,0,400,3,0,3,0,1,2,0.0138339920948616,-0.0464426877470356
3600,0,400,97,0,97,0,60,36,2.61166007905138,-0.889328063241107
3620,0,400,6,0,6,0,3,3,0.0118577075098814,-0.0513833992094861
3640,0,400,38,0,38,0,10,28,0.0444664031620554,-0.448616600790514
3680,0,400,0,0,0,0,0,0,0,0
3750,0,400,0,0,0,0,0,0,0,0
3780,0,400,6,0,6,0,3,3,0.0306324110671936,-0.100790513833992
3850,0,400,5,0,5,0,4,1,0.129446640316205,-0.0968379446640316
3870,0,400,4880,0,4880,0,2774,2009,49.447628458498,-34.1225296442688
3880,0,400,0,0,0,0,0,0,0,0
3900,0,400,1,0,1,0,1,0,0.0326086956521739,0
3930,0,400,147,2,145,0,45,96,1.00889328063241,-3.78656126482214
3940,0,400,5235,0,5235,0,2913,2221,62.102766798419,-36.9683794466403
3960,0,400,46,0,46,0,32,12,1.35869565217391,-0.121541501976284
3970,0,400,27,0,27,0,11,15,0.609683794466403,-0.525691699604743
3990,0,400,3,0,3,0,2,1,0.155138339920949,-0.0187747035573123
4020,0,400,1337,0,1337,0,377,931,3.11067193675889,-19.3241106719368
4021,0,400,13,0,13,0,5,8,0.141304347826087,-0.180830039525692
4030,0,400,12,0,12,0,5,7,0.347826086956522,-0.260869565217392
4050,0,400,1291,0,1291,0,728,538,15.0276679841897,-9.60968379446641
4060,0,400,443,0,443,0,237,194,4.93379446640316,-2.33201581027668
4070,0,400,60,0,60,0,23,36,1.23814229249012,-2.38636363636364
4090,0,400,16252,0,16252,0,10347,5609,213.873517786561,-87.6166007905139
4100,0,400,21,0,21,0,4,16,0.025691699604743,-0.211462450592885
4110,0,400,43,0,43,0,38,5,1.88339920948617,-0.17094861660079
4120,0,400,6856,0,6856,0,4288,2424,81.7262845849802,-36.3122529644269
4130,0,400,1239,25,1214,0,619,589,37.4209486166008,-35.1689723320158
4140,0,400,10,0,10,0,10,0,0.647233201581028,0
4160,0,400,145,0,145,0,64,81,1.1501976284585,-1.30533596837945
4171,0,400,0,0,0,0,0,0,0,0
4200,0,400,471,0,471,0,225,238,9.93577075098814,-8.10573122529645
4210,0,400,20,0,20,0,10,10,0.489130434782609,-0.398221343873518
4230,0,400,7813,0,7813,0,5260,2403,103.938735177866,-33.8705533596838
4250,0,400,5,0,5,0,4,1,0.456521739130435,-0.00592885375494079
4280,0,400,109,0,109,0,57,47,1.01383399209486,-0.519762845849803
4290,0,400,1,0,1,0,0,1,0,-0.0395256916996047
4310,0,400,15,0,15,0,6,8,0.281620553359684,-0.200592885375494
4320,0,400,255,22,233,0,159,72,11.7727272727273,-2.93083003952569
4330,0,400,56,0,56,0,4,52,0.120553359683794,-3.15810276679842
4430,0,400,710,0,710,0,286,416,4.2994071146245,-11.6778656126482
4440,0,400,7691,0,7691,0,4476,3056,85.9990118577075,-46.6393280632411
4470,0,400,1467,7,1460,0,731,709,33.4930830039526,-22.9426877470356
4480,0,400,195,0,195,0,96,98,3.1096837944664,-5.25
4520,0,400,9899,0,9899,0,5769,3927,110.262845849802,-66.0494071146245
4530,0,400,11,0,11,0,10,1,0.393280632411067,-0.00395256916996056
4540,0,400,1020,2,1018,0,627,379,36.8962450592885,-15.5800395256917
4560,0,400,14916,0,14916,0,7625,6953,132.982213438735,-117.896245059289
4570,0,400,237,8,229,0,143,85,8.62648221343874,-4.1897233201581
4580,0,400,60,0,60,0,30,29,1.56126482213439,-1.45355731225296
4590,0,400,139,0,139,0,57,82,2.9001976284585,-6.10869565217391
4610,0,400,15045,0,15045,0,8832,5907,179.834980237154,-93.4950592885376
4620,0,400,1139,37,1102,0,524,570,31.99604743083,-33.7687747035573
4630,0,400,2,0,2,0,2,0,0.00395256916996051,0
4640,0,400,58,3,55,0,32,23,2.01284584980237,-0.953557312252964
4641,0,400,188,0,188,0,49,137,1.44169960474308,-6.81916996047431
4650,0,400,3180,0,3180,0,1786,1341,32.1926877470356,-25.8181818181818
4660,0,400,1387,0,1387,0,747,613,11.9555335968379,-21.0049407114625
4661,0,400,1650,0,1650,0,515,1096,6.75790513833991,-22.5671936758893
4670,0,400,2471,0,2471,0,1040,1352,12.602766798419,-21.5079051383399
4680,0,400,186,0,186,0,59,126,2.65118577075099,-6.89525691699605
4690,0,400,184,2,182,0,112,69,8.07114624505929,-3.36758893280632
4691,0,400,21,0,21,0,11,10,0.445652173913044,-0.491106719367589
4710,0,400,1,0,1,0,1,0,0.0138339920948616,0
4740,0,400,4912,45,4867,0,3291,1498,105.737154150198,-33.9634387351779
4750,0,400,1238,19,1219,0,721,492,45.9911067193676,-17.6077075098814
4760,0,400,20,0,20,0,7,13,0.375494071146245,-0.421936758893281
4770,0,400,32819,0,32819,0,19124,13059,394.240118577075,-229.200592885376
4780,0,400,807,4,803,0,305,497,18.4713438735178,-33.8685770750988
4812,0,400,220,0,220,0,74,144,3.13241106719368,-9.50889328063241
4813,0,400,70,0,70,0,42,28,1.73913043478261,-0.785573122529644
4840,0,400,76,0,76,0,68,8,2.98418972332016,-0.140316205533597
4860,0,400,2321,38,2283,0,1324,924,62.7618577075099,-38.1897233201581
4870,0,400,133,0,133,0,55,75,1.7598814229249,-2.68181818181818
4880,0,400,35996,9,35987,0,20660,14640,438.597826086956,-274.98814229249
4881,0,400,10,0,10,0,6,4,0.0849802371541503,-0.0237154150197629
4890,0,400,4,0,4,0,0,4,0,-0.130434782608696
4900,0,400,505,0,505,0,271,228,4.75592885375494,-3.99308300395257
4910,0,400,6,0,6,0,5,1,0.327075098814229,-0.0681818181818183
4920,0,400,72,0,72,0,59,11,3.31324110671937,-0.174901185770751
4930,0,400,29371,9,29362,0,17087,11714,368.928853754941,-227.002964426878
4940,0,400,4659,0,4659,0,2030,2529,33.8191699604743,-44.3320158102767
4950,0,400,22545,19,22526,0,13916,8195,323.880434782609,-154.00790513834
4960,0,400,0,0,0,0,0,0,0,0
4970,0,400,349,1,348,0,107,236,2.61857707509881,-3.14130434782609
4980,0,400,34122,50,34072,0,19538,13896,452.060276679842,-273.442687747036
5000,0,400,1,0,1,0,1,0,0.0543478260869566,0
5010,0,400,13720,3,13717,0,8865,4580,186.809288537549,-69.4851778656127
